Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Saucedemo-Shop/password_field""), ""secret_sauce"")",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.087s,PASSED
"click(findTestObject(""Saucedemo-Shop/login_btn""))",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.099s,PASSED
"verifyTextPresent(productName, false)",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.030s,PASSED
"productName = ""sauce-labs-backpack""",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.000s,PASSED
"click(findTestObject(""Saucedemo-Shop/Button_AddToCart_ByProduct"", [""productName"":productName]))",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:31,0.031s,PASSED
"click(findTestObject(""Saucedemo-Shop/shopping_cart""))",Safari 18.6,,,05-10-2025 15:20:31,05-10-2025 15:20:32,0.044s,PASSED
"click(findTestObject(""Saucedemo-Shop/checkout_btn""))",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.046s,PASSED
"verifyTextPresent(""Checkout: Your Information"", false)",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.014s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-fullname""), ""Felia"")",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.053s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-lastname""), ""Anjani"")",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.068s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-zipcode""), ""17812"")",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.074s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/continue-btn""), 10)",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.010s,PASSED
"click(findTestObject(""Saucedemo-Shop/continue-btn""))",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.066s,PASSED
"verifyTextPresent(""Checkout: Overview"", false)",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.012s,PASSED
"click(findTestObject(""Saucedemo-Shop/finish_btn""))",Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:32,0.043s,PASSED
closeBrowser(),Safari 18.6,,,05-10-2025 15:20:32,05-10-2025 15:20:42,10.235s,PASSED
,,,,,,,
Test Cases/Task-Saucelab-Checkout,Safari 18.6,,,05-10-2025 15:20:42,05-10-2025 15:20:55,12.819s,PASSED
"DATA BINDING - {""id_product"":""5"",""productName"":""Sauce Labs Onesie""}",,,,,,,
Start listener action : beforeTestCase,Safari 18.6,,,05-10-2025 15:20:42,05-10-2025 15:20:42,0.001s,PASSED
"openBrowser("""")",Safari 18.6,,,05-10-2025 15:20:42,05-10-2025 15:20:43,0.755s,PASSED
